customer_id,Frequency,Monetary,F_Score,M_Score,RFM_Score,Segment
12395.0,257,5046.92,4,4,44,VIP Customer
12396.0,65,931.4300000000001,3,3,33,Loyal Customer
12397.0,126,2409.9,3,4,34,Loyal Customer
12398.0,85,1635.6599999999999,3,3,33,Loyal Customer
12399.0,110,1962.3,3,3,33,Loyal Customer
12400.0,11,205.25,1,1,11,Low Value Customer
12401.0,5,84.3,1,1,11,Low Value Customer
12402.0,71,1244.15,3,3,33,Loyal Customer
12403.0,10,1001.36,1,3,13,Low Value Customer
12404.0,1,63.24,1,1,11,Low Value Customer
12405.0,54,1710.39,3,3,33,Loyal Customer
12406.0,170,6072.21,4,4,44,VIP Customer
12407.0,77,1708.12,3,3,33,Loyal Customer
12408.0,170,4279.64,4,4,44,VIP Customer
12409.0,272,23090.47,4,4,44,VIP Customer
12410.0,42,1001.46,2,3,23,Regular Customer
12411.0,22,346.9,2,2,22,Low Value Customer
12412.0,131,2581.03,3,4,34,Loyal Customer
12413.0,53,935.5,2,3,23,Regular Customer
12414.0,37,692.4100000000001,2,2,22,Low Value Customer
12415.0,990,143269.29,4,4,44,VIP Customer
12416.0,11,202.56,1,1,11,Low Value Customer
12417.0,381,6708.21,4,4,44,VIP Customer
12418.0,103,2016.95,3,3,33,Loyal Customer
12419.0,25,503.01,2,2,22,Low Value Customer
12420.0,29,600.39,2,2,22,Low Value Customer
12421.0,67,1092.83,3,3,33,Loyal Customer
12422.0,176,4119.35,4,4,44,VIP Customer
12423.0,166,2612.19,4,4,44,VIP Customer
12424.0,97,3289.7799999999997,3,4,34,Loyal Customer
12425.0,95,1680.81,3,3,33,Loyal Customer
12426.0,82,1311.41,3,3,33,Loyal Customer
12427.0,45,1011.87,2,3,23,Regular Customer
12428.0,300,7877.2,4,4,44,VIP Customer
12429.0,174,7435.51,4,4,44,VIP Customer
12430.0,11,256.4,1,1,11,Low Value Customer
12431.0,413,10719.41,4,4,44,VIP Customer
12432.0,108,5059.32,3,4,34,Loyal Customer
12433.0,707,20428.86,4,4,44,VIP Customer
12434.0,74,1062.48,3,3,33,Loyal Customer
12435.0,112,13925.93,3,4,34,Loyal Customer
12436.0,16,509.01,1,2,12,Low Value Customer
12437.0,583,12394.85,4,4,44,VIP Customer
12438.0,98,2906.85,3,4,34,Loyal Customer
12439.0,75,1104.48,3,3,33,Loyal Customer
12440.0,35,768.15,2,2,22,Low Value Customer
12441.0,22,347.1,2,2,22,Low Value Customer
12442.0,12,172.06,1,1,11,Low Value Customer
12443.0,21,485.31,1,2,12,Low Value Customer
12444.0,177,5005.46,4,4,44,VIP Customer
12445.0,25,426.48,2,2,22,Low Value Customer
12446.0,58,1002.3100000000001,3,3,33,Loyal Customer
12447.0,26,476.49,2,2,22,Low Value Customer
12448.0,22,449.45,2,2,22,Low Value Customer
12449.0,201,4835.89,4,4,44,VIP Customer
12450.0,40,666.95,2,2,22,Low Value Customer
12451.0,514,12546.53,4,4,44,VIP Customer
12452.0,23,428.57000000000005,2,2,22,Low Value Customer
12453.0,43,707.09,2,2,22,Low Value Customer
12454.0,72,4292.71,3,4,34,Loyal Customer
12455.0,227,5879.95,4,4,44,VIP Customer
12456.0,129,3153.89,3,4,34,Loyal Customer
12457.0,93,2472.31,3,4,34,Loyal Customer
12458.0,84,1777.49,3,3,33,Loyal Customer
12459.0,23,454.36,2,2,22,Low Value Customer
12460.0,18,326.65,1,2,12,Low Value Customer
12461.0,35,826.88,2,2,22,Low Value Customer
12462.0,72,1124.01,3,3,33,Loyal Customer
12463.0,88,1303.63,3,3,33,Loyal Customer
12464.0,29,1212.05,2,3,23,Regular Customer
12465.0,51,733.89,2,2,22,Low Value Customer
12466.0,1,56.73,1,1,11,Low Value Customer
12467.0,18,0.0,1,1,11,Low Value Customer
12468.0,163,3624.55,4,4,44,VIP Customer
12469.0,76,3070.54,3,4,34,Loyal Customer
12470.0,23,211.95,2,1,21,Low Value Customer
12471.0,1298,37948.61,4,4,44,VIP Customer
12472.0,1049,16956.69,4,4,44,VIP Customer
12473.0,179,2848.23,4,4,44,VIP Customer
12474.0,764,11966.45,4,4,44,VIP Customer
12475.0,61,1149.64,3,3,33,Loyal Customer
12476.0,564,13715.62,4,4,44,VIP Customer
12477.0,572,20173.64,4,4,44,VIP Customer
12478.0,36,680.99,2,2,22,Low Value Customer
12479.0,35,477.3,2,2,22,Low Value Customer
12480.0,245,5435.1,4,4,44,VIP Customer
12481.0,395,12217.03,4,4,44,VIP Customer
12482.0,207,21893.53,4,4,44,VIP Customer
12483.0,148,4846.87,4,4,44,VIP Customer
12484.0,484,6303.85,4,4,44,VIP Customer
12485.0,34,708.1,2,2,22,Low Value Customer
12486.0,49,1037.28,2,3,23,Regular Customer
12487.0,3,259.8,1,1,11,Low Value Customer
12488.0,55,1298.66,3,3,33,Loyal Customer
12489.0,15,334.93,1,2,12,Low Value Customer
12490.0,463,9818.64,4,4,44,VIP Customer
12491.0,26,460.40000000000003,2,2,22,Low Value Customer
12492.0,42,715.21,2,2,22,Low Value Customer
12493.0,23,416.79,2,2,22,Low Value Customer
12494.0,122,1743.52,3,3,33,Loyal Customer
12495.0,19,323.4,1,1,11,Low Value Customer
12496.0,13,54.09,1,1,11,Low Value Customer
12497.0,58,6211.75,3,4,34,Loyal Customer
12498.0,23,403.70000000000005,2,2,22,Low Value Customer
12499.0,27,393.72,2,2,22,Low Value Customer
12500.0,156,5872.3099999999995,4,4,44,VIP Customer
12501.0,160,2089.68,4,3,43,Loyal Customer
12502.0,147,3723.87,4,4,44,VIP Customer
12503.0,3,0.0,1,1,11,Low Value Customer
12504.0,26,411.0,2,2,22,Low Value Customer
12505.0,47,908.0,2,3,23,Regular Customer
12506.0,23,73.5,2,1,21,Low Value Customer
12507.0,51,1797.31,2,3,23,Regular Customer
12508.0,69,398.27,3,2,32,Regular Customer
12509.0,7,176.5,1,1,11,Low Value Customer
12510.0,154,3689.33,4,4,44,VIP Customer
12511.0,194,3065.77,4,4,44,VIP Customer
12512.0,34,138.03,2,1,21,Low Value Customer
12513.0,36,586.79,2,2,22,Low Value Customer
12514.0,84,1597.76,3,3,33,Loyal Customer
12515.0,16,383.7,1,2,12,Low Value Customer
12516.0,74,2648.62,3,4,34,Loyal Customer
12517.0,286,2464.89,4,4,44,VIP Customer
12518.0,124,2056.89,3,3,33,Loyal Customer
12519.0,42,695.19,2,2,22,Low Value Customer
12520.0,155,2582.51,4,4,44,VIP Customer
12521.0,38,599.68,2,2,22,Low Value Customer
12522.0,12,192.72,1,1,11,Low Value Customer
12523.0,265,4220.85,4,4,44,VIP Customer
12524.0,242,11091.36,4,4,44,VIP Customer
12525.0,77,835.1800000000001,3,2,32,Regular Customer
12526.0,71,1316.66,3,3,33,Loyal Customer
12527.0,32,735.51,2,2,22,Low Value Customer
12528.0,95,1922.28,3,3,33,Loyal Customer
12529.0,23,311.78000000000003,2,1,21,Low Value Customer
12530.0,162,3689.86,4,4,44,VIP Customer
12531.0,133,1899.05,3,3,33,Loyal Customer
12532.0,16,349.83000000000004,1,2,12,Low Value Customer
12533.0,90,1149.99,3,3,33,Loyal Customer
12534.0,63,1089.18,3,3,33,Loyal Customer
12535.0,34,716.35,2,2,22,Low Value Customer
12536.0,273,4106.82,4,4,44,VIP Customer
12537.0,43,732.94,2,2,22,Low Value Customer
12538.0,34,640.45,2,2,22,Low Value Customer
12539.0,505,9498.9,4,4,44,VIP Customer
12540.0,775,22107.29,4,4,44,VIP Customer
12541.0,52,981.18,2,3,23,Regular Customer
12542.0,45,423.38,2,2,22,Low Value Customer
12543.0,43,980.25,2,3,23,Regular Customer
12544.0,20,355.7,1,2,12,Low Value Customer
12545.0,50,1000.39,2,3,23,Regular Customer
12546.0,70,1141.5,3,3,33,Loyal Customer
12547.0,21,383.58,1,2,12,Low Value Customer
12548.0,5,95.19999999999999,1,1,11,Low Value Customer
12549.0,49,1575.68,2,3,23,Regular Customer
12550.0,57,964.83,3,3,33,Loyal Customer
12551.0,10,168.0,1,1,11,Low Value Customer
12552.0,20,437.82,1,2,12,Low Value Customer
12553.0,244,4548.82,4,4,44,VIP Customer
12554.0,26,468.5,2,2,22,Low Value Customer
12555.0,1,129.23,1,1,11,Low Value Customer
12556.0,121,603.71,3,2,32,Regular Customer
12557.0,58,18716.14,3,4,34,Loyal Customer
12558.0,22,1.0658141036401503e-14,2,1,21,Low Value Customer
12559.0,22,536.21,2,2,22,Low Value Customer
12560.0,111,2101.39,3,3,33,Loyal Customer
12561.0,16,238.85,1,1,11,Low Value Customer
12562.0,207,4966.92,4,4,44,VIP Customer
12563.0,13,249.24,1,1,11,Low Value Customer
12564.0,21,456.90000000000003,1,2,12,Low Value Customer
12565.0,10,131.17000000000002,1,1,11,Low Value Customer
12566.0,20,346.7,1,2,12,Low Value Customer
12567.0,658,13393.82,4,4,44,VIP Customer
12568.0,5,70.0,1,1,11,Low Value Customer
12569.0,191,4064.9900000000002,4,4,44,VIP Customer
12570.0,1,77.52,1,1,11,Low Value Customer
12571.0,34,519.61,2,2,22,Low Value Customer
12572.0,62,1004.72,3,3,33,Loyal Customer
12573.0,119,717.41,3,2,32,Regular Customer
12574.0,11,218.45000000000002,1,1,11,Low Value Customer
12575.0,38,622.82,2,2,22,Low Value Customer
12576.0,147,2083.87,4,3,43,Loyal Customer
12577.0,303,1591.35,4,3,43,Loyal Customer
12578.0,181,4572.45,4,4,44,VIP Customer
12579.0,31,410.72,2,2,22,Low Value Customer
12580.0,58,1052.9,3,3,33,Loyal Customer
12581.0,15,197.71,1,1,11,Low Value Customer
12582.0,103,1980.4,3,3,33,Loyal Customer
12583.0,471,14344.9,4,4,44,VIP Customer
12584.0,126,1893.95,3,3,33,Loyal Customer
12585.0,97,1982.81,3,3,33,Loyal Customer
12586.0,96,2028.67,3,3,33,Loyal Customer
12587.0,4,144.0,1,1,11,Low Value Customer
12588.0,48,938.98,2,3,23,Regular Customer
12589.0,212,3094.17,4,4,44,VIP Customer
12590.0,72,9853.48,3,4,34,Loyal Customer
12591.0,69,1352.15,3,3,33,Loyal Customer
12592.0,84,1152.62,3,3,33,Loyal Customer
12593.0,21,418.1,1,2,12,Low Value Customer
12594.0,202,5044.51,4,4,44,VIP Customer
12595.0,19,299.02,1,1,11,Low Value Customer
12596.0,27,618.27,2,2,22,Low Value Customer
12597.0,214,3683.13,4,4,44,VIP Customer
12598.0,211,4414.67,4,4,44,VIP Customer
12599.0,133,2296.72,3,4,34,Loyal Customer
12600.0,140,4955.79,3,4,34,Loyal Customer
12601.0,35,673.76,2,2,22,Low Value Customer
12602.0,12,153.12,1,1,11,Low Value Customer
12603.0,3,739.1999999999999,1,2,12,Low Value Customer
12604.0,16,254.18,1,1,11,Low Value Customer
12605.0,82,1217.95,3,3,33,Loyal Customer
12606.0,1,21.0,1,1,11,Low Value Customer
12607.0,202,7.105427357601002e-15,4,1,41,Low Value Customer
12608.0,16,415.79,1,2,12,Low Value Customer
12609.0,176,3417.86,4,4,44,VIP Customer
12610.0,111,2057.99,3,3,33,Loyal Customer
12611.0,65,1193.32,3,3,33,Loyal Customer
12612.0,21,643.59,1,2,12,Low Value Customer
12613.0,347,6591.52,4,4,44,VIP Customer
12614.0,20,315.6,1,1,11,Low Value Customer
12615.0,278,5564.88,4,4,44,VIP Customer
12616.0,59,1045.35,3,3,33,Loyal Customer
12617.0,42,355.53000000000003,2,2,22,Low Value Customer
12618.0,11,177.31,1,1,11,Low Value Customer
12619.0,105,3354.95,3,4,34,Loyal Customer
12620.0,92,1339.41,3,3,33,Loyal Customer
12621.0,786,24579.31,4,4,44,VIP Customer
12622.0,11,180.1,1,1,11,Low Value Customer
12623.0,176,3639.84,4,4,44,VIP Customer
12624.0,38,641.13,2,2,22,Low Value Customer
12625.0,188,5095.38,4,4,44,VIP Customer
12626.0,307,6388.35,4,4,44,VIP Customer
12627.0,230,4478.53,4,4,44,VIP Customer
12628.0,43,769.61,2,2,22,Low Value Customer
12629.0,45,1558.22,2,3,23,Regular Customer
12630.0,64,1270.88,3,3,33,Loyal Customer
12631.0,186,3452.27,4,4,44,VIP Customer
12632.0,38,738.88,2,2,22,Low Value Customer
12633.0,313,5595.21,4,4,44,VIP Customer
12634.0,20,490.0,1,2,12,Low Value Customer
12635.0,179,2930.41,4,4,44,VIP Customer
12636.0,1,141.0,1,1,11,Low Value Customer
12637.0,639,8271.66,4,4,44,VIP Customer
12638.0,48,921.49,2,3,23,Regular Customer
12639.0,64,1312.3700000000001,3,3,33,Loyal Customer
12640.0,53,1174.58,2,3,23,Regular Customer
12641.0,10,185.9,1,1,11,Low Value Customer
12642.0,47,1013.26,2,3,23,Regular Customer
12643.0,56,7880.9,3,4,34,Loyal Customer
12644.0,123,1815.54,3,3,33,Loyal Customer
12645.0,163,3499.1,4,4,44,VIP Customer
12646.0,45,1346.97,2,3,23,Regular Customer
12647.0,574,17682.79,4,4,44,VIP Customer
12648.0,66,1097.0,3,3,33,Loyal Customer
12649.0,124,2238.7,3,4,34,Loyal Customer
12650.0,20,314.44,1,1,11,Low Value Customer
12651.0,32,365.3,2,2,22,Low Value Customer
12652.0,54,1011.58,3,3,33,Loyal Customer
12653.0,86,4160.83,3,4,34,Loyal Customer
12654.0,38,601.98,2,2,22,Low Value Customer
12655.0,16,261.35,1,1,11,Low Value Customer
12656.0,253,6320.78,4,4,44,VIP Customer
12657.0,56,1152.06,3,3,33,Loyal Customer
12658.0,36,686.05,2,2,22,Low Value Customer
12659.0,5,91.68,1,1,11,Low Value Customer
12660.0,13,245.10000000000002,1,1,11,Low Value Customer
12661.0,11,162.0,1,1,11,Low Value Customer
12662.0,411,6949.17,4,4,44,VIP Customer
12663.0,11,204.0,1,1,11,Low Value Customer
12664.0,46,6052.04,2,4,24,Regular Customer
12665.0,21,301.45,1,1,11,Low Value Customer
12666.0,33,1020.98,2,3,23,Regular Customer
12667.0,33,620.13,2,2,22,Low Value Customer
12668.0,546,11380.710000000001,4,4,44,VIP Customer
12669.0,102,1607.73,3,3,33,Loyal Customer
12670.0,117,3750.3900000000003,3,4,34,Loyal Customer
12671.0,45,2622.481,2,4,24,Regular Customer
12672.0,25,410.5,2,2,22,Low Value Customer
12673.0,74,1230.02,3,3,33,Loyal Customer
12674.0,91,1919.31,3,3,33,Loyal Customer
12675.0,115,934.8,3,3,33,Loyal Customer
12676.0,108,2773.09,3,4,34,Loyal Customer
12677.0,23,389.3,2,2,22,Low Value Customer
12678.0,381,33851.13,4,4,44,VIP Customer
12679.0,56,1058.67,3,3,33,Loyal Customer
12680.0,53,880.81,2,3,23,Regular Customer
12681.0,1494,30551.760000000002,4,4,44,VIP Customer
12682.0,1042,23945.81,4,4,44,VIP Customer
12683.0,561,12418.6,4,4,44,VIP Customer
12684.0,105,2283.63,3,4,34,Loyal Customer
12685.0,157,2863.08,4,4,44,VIP Customer
12686.0,14,178.28,1,1,11,Low Value Customer
12687.0,126,2138.91,3,3,33,Loyal Customer
12688.0,171,4873.81,4,4,44,VIP Customer
12689.0,72,1247.6100000000001,3,3,33,Loyal Customer
12690.0,16,389.01,1,2,12,Low Value Customer
12691.0,39,1170.4,2,3,23,Regular Customer
12692.0,13,110.95,1,1,11,Low Value Customer
12693.0,83,1640.42,3,3,33,Loyal Customer
12694.0,84,1839.45,3,3,33,Loyal Customer
12695.0,59,1407.1200000000001,3,3,33,Loyal Customer
12696.0,50,801.15,2,2,22,Low Value Customer
12697.0,43,939.02,2,3,23,Regular Customer
12698.0,16,339.75,1,2,12,Low Value Customer
12699.0,41,638.11,2,2,22,Low Value Customer
12700.0,270,4867.99,4,4,44,VIP Customer
12701.0,147,2446.41,4,4,44,VIP Customer
12702.0,12,219.0,1,1,11,Low Value Customer
12703.0,84,892.1800000000001,3,3,33,Loyal Customer
12704.0,90,2220.84,3,4,34,Loyal Customer
12705.0,626,11554.0,4,4,44,VIP Customer
12706.0,1,-91.89,1,1,11,Low Value Customer
12707.0,33,603.42,2,2,22,Low Value Customer
12708.0,336,5118.16,4,4,44,VIP Customer
12709.0,588,30312.61,4,4,44,VIP Customer
12710.0,79,1130.57,3,3,33,Loyal Customer
12711.0,60,1339.05,3,3,33,Loyal Customer
12712.0,294,6979.66,4,4,44,VIP Customer
12713.0,38,848.55,2,3,23,Regular Customer
12714.0,696,14093.710000000001,4,4,44,VIP Customer
12715.0,21,353.86,1,2,12,Low Value Customer
12716.0,69,1053.49,3,3,33,Loyal Customer
12717.0,72,1258.91,3,3,33,Loyal Customer
12718.0,19,238.25,1,1,11,Low Value Customer
12719.0,42,608.1,2,2,22,Low Value Customer
12720.0,533,8047.88,4,4,44,VIP Customer
12721.0,254,3906.68,4,4,44,VIP Customer
12722.0,57,904.33,3,3,33,Loyal Customer
12723.0,69,725.07,3,2,32,Regular Customer
12724.0,129,2317.52,3,4,34,Loyal Customer
12725.0,130,2694.56,3,4,34,Loyal Customer
12726.0,179,4014.6,4,4,44,VIP Customer
12727.0,205,5646.53,4,4,44,VIP Customer
12728.0,61,1070.17,3,3,33,Loyal Customer
12729.0,26,453.01,2,2,22,Low Value Customer
12730.0,47,829.25,2,2,22,Low Value Customer
12731.0,396,25673.21,4,4,44,VIP Customer
12732.0,12,236.26000000000002,1,1,11,Low Value Customer
12733.0,162,2326.82,4,4,44,VIP Customer
12734.0,19,639.65,1,2,12,Low Value Customer
12735.0,43,779.5699999999999,2,2,22,Low Value Customer
12736.0,4,234.0,1,1,11,Low Value Customer
12737.0,2,3710.5,1,4,14,Low Value Customer
12738.0,22,310.7,2,1,21,Low Value Customer
12739.0,89,2726.73,3,4,34,Loyal Customer
12740.0,27,427.6,2,2,22,Low Value Customer
12741.0,16,406.07,1,2,12,Low Value Customer
12742.0,68,1185.02,3,3,33,Loyal Customer
12743.0,134,546.43,3,2,32,Regular Customer
12744.0,346,13158.16,4,4,44,VIP Customer
12745.0,23,925.41,2,3,23,Regular Customer
12746.0,20,230.85,1,1,11,Low Value Customer
12747.0,265,9164.59,4,4,44,VIP Customer
12748.0,7307,49970.13,4,4,44,VIP Customer
12749.0,398,6328.49,4,4,44,VIP Customer
12750.0,15,275.88,1,1,11,Low Value Customer
12751.0,62,268.27,3,1,31,Low Value Customer
12752.0,53,4366.78,2,4,24,Regular Customer
12753.0,230,21024.01,4,4,44,VIP Customer
12754.0,65,2949.12,3,4,34,Loyal Customer
12755.0,117,6406.35,3,4,34,Loyal Customer
12756.0,4,112.08,1,1,11,Low Value Customer
12757.0,377,4227.7,4,4,44,VIP Customer
12758.0,317,9779.0,4,4,44,VIP Customer
12759.0,302,5020.74,4,4,44,VIP Customer
12760.0,21,347.8,1,2,12,Low Value Customer
12761.0,27,782.95,2,2,22,Low Value Customer
12762.0,69,1898.52,3,3,33,Loyal Customer
12763.0,34,814.16,2,2,22,Low Value Customer
12764.0,45,1693.88,2,3,23,Regular Customer
12765.0,68,1404.58,3,3,33,Loyal Customer
12766.0,459,10026.43,4,4,44,VIP Customer
12767.0,43,949.82,2,3,23,Regular Customer
12768.0,20,0.0,1,1,11,Low Value Customer
12769.0,32,1143.6,2,3,23,Regular Customer
12770.0,37,2975.95,2,4,24,Regular Customer
12771.0,16,262.5,1,1,11,Low Value Customer
12772.0,55,892.47,3,3,33,Loyal Customer
12773.0,12,1.7763568394002505e-15,1,1,11,Low Value Customer
12774.0,6,98.7,1,1,11,Low Value Customer
12775.0,82,1651.32,3,3,33,Loyal Customer
12776.0,4,55.5,1,1,11,Low Value Customer
12777.0,26,519.45,2,2,22,Low Value Customer
12778.0,115,1757.68,3,3,33,Loyal Customer
12779.0,295,6406.76,4,4,44,VIP Customer
12780.0,20,337.4,1,2,12,Low Value Customer
12781.0,30,707.72,2,2,22,Low Value Customer
12782.0,241,4526.04,4,4,44,VIP Customer
12783.0,86,1603.87,3,3,33,Loyal Customer
12784.0,131,1804.75,3,3,33,Loyal Customer
12785.0,58,1079.31,3,3,33,Loyal Customer
12786.0,18,728.5000000000001,1,2,12,Low Value Customer
12787.0,45,859.1800000000001,2,3,23,Regular Customer
12788.0,26,444.90000000000003,2,2,22,Low Value Customer
12789.0,8,273.35,1,1,11,Low Value Customer
12790.0,40,563.45,2,2,22,Low Value Customer
12791.0,32,777.75,2,2,22,Low Value Customer
12792.0,48,813.88,2,2,22,Low Value Customer
12793.0,51,1017.33,2,3,23,Regular Customer
12794.0,45,860.41,2,3,23,Regular Customer
12795.0,14,430.48,1,2,12,Low Value Customer
12796.0,7,381.0,1,2,12,Low Value Customer
12797.0,49,725.46,2,2,22,Low Value Customer
12798.0,33,8510.93,2,4,24,Regular Customer
12799.0,15,219.35,1,1,11,Low Value Customer
12800.0,34,584.25,2,2,22,Low Value Customer
12801.0,51,1031.8700000000001,2,3,23,Regular Customer
12802.0,140,2350.42,3,4,34,Loyal Customer
12803.0,55,1092.81,3,3,33,Loyal Customer
12804.0,67,327.02,3,2,32,Regular Customer
12805.0,58,1434.95,3,3,33,Loyal Customer
12806.0,67,2878.96,3,4,34,Loyal Customer
12807.0,18,269.95,1,1,11,Low Value Customer
12808.0,54,906.1,3,3,33,Loyal Customer
12809.0,89,1705.34,3,3,33,Loyal Customer
12810.0,32,534.99,2,2,22,Low Value Customer
12811.0,56,1033.9,3,3,33,Loyal Customer
12812.0,15,229.64000000000001,1,1,11,Low Value Customer
12813.0,45,1687.8,2,3,23,Regular Customer
12814.0,2,125.92,1,1,11,Low Value Customer
12815.0,47,1063.46,2,3,23,Regular Customer
12816.0,29,572.2,2,2,22,Low Value Customer
12817.0,25,690.98,2,2,22,Low Value Customer
12818.0,16,1517.88,1,3,13,Low Value Customer
12819.0,19,540.52,1,2,12,Low Value Customer
12820.0,163,2647.94,4,4,44,VIP Customer
12821.0,13,220.8,1,1,11,Low Value Customer
12822.0,47,918.98,2,3,23,Regular Customer
12823.0,18,6501.5,1,4,14,Low Value Customer
12824.0,25,397.12,2,2,22,Low Value Customer
12825.0,24,518.63,2,2,22,Low Value Customer
12826.0,171,2928.69,4,4,44,VIP Customer
12827.0,25,430.15,2,2,22,Low Value Customer
12828.0,56,1018.71,3,3,33,Loyal Customer
12829.0,20,345.35,1,2,12,Low Value Customer
12830.0,39,6748.4,2,4,24,Regular Customer
12831.0,22,451.11,2,2,22,Low Value Customer
12832.0,27,383.03000000000003,2,2,22,Low Value Customer
12833.0,24,417.38,2,2,22,Low Value Customer
12834.0,18,312.38,1,1,11,Low Value Customer
12835.0,630,6018.67,4,4,44,VIP Customer
12836.0,418,6546.47,4,4,44,VIP Customer
12837.0,92,688.41,3,2,32,Regular Customer
12838.0,427,3376.03,4,4,44,VIP Customer
12839.0,586,9927.83,4,4,44,VIP Customer
12840.0,181,4013.87,4,4,44,VIP Customer
12841.0,722,7390.4800000000005,4,4,44,VIP Customer
12842.0,48,1917.99,2,3,23,Regular Customer
12843.0,230,6345.61,4,4,44,VIP Customer
12844.0,103,648.6,3,2,32,Regular Customer
12845.0,27,354.09000000000003,2,2,22,Low Value Customer
12846.0,1,15.58,1,1,11,Low Value Customer
12847.0,126,1636.8999999999999,3,3,33,Loyal Customer
12848.0,16,208.0,1,1,11,Low Value Customer
12849.0,148,3090.56,4,4,44,VIP Customer
12850.0,2,330.0,1,2,12,Low Value Customer
12851.0,80,284.13,3,1,31,Low Value Customer
12852.0,20,299.75,1,1,11,Low Value Customer
12853.0,157,3728.5,4,4,44,VIP Customer
12854.0,275,2922.37,4,4,44,VIP Customer
12855.0,70,650.94,3,2,32,Regular Customer
12856.0,317,2162.68,4,3,43,Loyal Customer
12857.0,122,3684.25,3,4,34,Loyal Customer
12858.0,50,151.73,2,1,21,Low Value Customer
12859.0,21,575.1,1,2,12,Low Value Customer
12860.0,17,55.47,1,1,11,Low Value Customer
12861.0,4,68.25,1,1,11,Low Value Customer
12862.0,133,1008.32,3,3,33,Loyal Customer
12863.0,49,2775.55,2,4,24,Regular Customer
12864.0,7,299.57,1,1,11,Low Value Customer
12865.0,196,3303.31,4,4,44,VIP Customer
12866.0,63,1227.35,3,3,33,Loyal Customer
12867.0,1076,7862.69,4,4,44,VIP Customer
12868.0,146,2247.06,4,4,44,VIP Customer
12869.0,37,337.66999999999996,2,2,22,Low Value Customer
12870.0,97,1647.15,3,3,33,Loyal Customer
12871.0,18,744.02,1,2,12,Low Value Customer
12872.0,438,3678.34,4,4,44,VIP Customer
12873.0,35,2027.3,2,3,23,Regular Customer
12874.0,49,933.42,2,3,23,Regular Customer
12875.0,8,1356.9900000000002,1,3,13,Low Value Customer
12876.0,171,4068.59,4,4,44,VIP Customer
12877.0,277,2955.17,4,4,44,VIP Customer
12878.0,49,841.64,2,2,22,Low Value Customer
12879.0,12,552.57,1,2,12,Low Value Customer
12880.0,36,640.13,2,2,22,Low Value Customer
12881.0,7,298.0,1,1,11,Low Value Customer
12882.0,13,1463.04,1,3,13,Low Value Customer
12883.0,42,703.47,2,2,22,Low Value Customer
12884.0,7,309.05,1,1,11,Low Value Customer
12885.0,72,1158.27,3,3,33,Loyal Customer
12886.0,86,1351.09,3,3,33,Loyal Customer
12887.0,13,222.4,1,1,11,Low Value Customer
12888.0,7,313.77,1,1,11,Low Value Customer
12889.0,27,365.66,2,2,22,Low Value Customer
